源名称,源状态,候选URL,RSS候选,平台,source_layer,acquisition_mode,broad_category,decision_scope,push_frequency,risk_policy,paywall_policy,优先级,是否一手源,建议动作,备注
YouTube公开课程频道池,候选待加入,manual://youtube-learning-channels,,YouTube,B_observe,manual_import,B站YouTube,长期观察,daily_or_weekly,normal,public_only,中,否,先人工核验质量，再加入 Folo/RSS/监控源池,补充频道ID后可用公开视频RSS
RSSHub路由候选池,候选待加入,https://docs.rsshub.app/,,RSSHub,B_observe,rsshub,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,中,是,先人工核验质量，再加入 Folo/RSS/监控源池,用于后续为平台源寻找合规公开RSSHub路由
GitHub Topic AI,候选待加入,https://github.com/topics/artificial-intelligence,,GitHub,B_observe,official_api,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,中,是,先人工核验质量，再加入 Folo/RSS/监控源池,
GitHub Topic Automation,候选待加入,https://github.com/topics/automation,,GitHub,B_observe,official_api,开源仓库,工具/技术选择,daily_or_weekly,normal,public_only,中,是,先人工核验质量，再加入 Folo/RSS/监控源池,
GitHub Topic PLC,候选待加入,https://github.com/topics/plc,,GitHub,B_observe,official_api,工业技术,职业成长,daily_or_weekly,normal,public_only,低,是,先人工核验质量，再加入 Folo/RSS/监控源池,
NAS与远程控制公开项目池,候选待加入,manual://nas-remote-projects,,公开网页/RSS,C_opportunity,search_watch,NAS自动化,工具/技术选择,weekly,normal,public_only,中,否,先人工核验质量，再加入 Folo/RSS/监控源池,Tailscale、RustDesk、Docker、NAS自动化项目观察
什么值得买公开线索池,候选待加入,manual://smzdm-public,,公开网页/手动,C_opportunity,manual_import,消费购物,购买/学习决策,weekly,metadata_public_only,metadata_only,低,否,先人工核验质量，再加入 Folo/RSS/监控源池,只记录公开价格和评价线索
1688工业耗材线索池,候选待加入,manual://1688-industrial-supplies,,公开网页/手动,C_opportunity,manual_import,消费购物,购买/学习决策,weekly,metadata_public_only,metadata_only,低,否,先人工核验质量，再加入 Folo/RSS/监控源池,电气工具、耗材和3D打印耗材价格观察
租房与生活服务线索池,候选待加入,manual://rent-life-service,,公开网页/手动,E_supplement,manual_import,住房租房,生活权益,low_frequency,normal,metadata_only,低,否,先人工核验质量，再加入 Folo/RSS/监控源池,只记录公开房源线索和避坑信息，不抓个人隐私
铁路12306公告,候选待加入,https://www.12306.cn/,,官方网页,E_supplement,official_page,交通出行,生活权益,low_frequency,normal,public_only,低,是,先人工核验质量，再加入 Folo/RSS/监控源池,
中国天气公开入口,候选待加入,https://www.weather.com.cn/,,公开网页,E_supplement,official_page,生活服务,生活权益,low_frequency,normal,public_only,低,是,先人工核验质量，再加入 Folo/RSS/监控源池,
国家博物馆,候选待加入,https://www.chnmuseum.cn/,,公开网页,E_supplement,official_page,文化历史,文化娱乐,low_frequency,normal,public_only,低,是,先人工核验质量，再加入 Folo/RSS/监控源池,
豆瓣读书影视手动线索池,候选待加入,manual://douban-books-movies,,手动/公开搜索,E_supplement,manual_import,读书影视,文化娱乐,low_frequency,normal,public_only,低,否,先人工核验质量，再加入 Folo/RSS/监控源池,只做公开条目线索，不抓账号内容
Steam愿望单手动线索池,候选待加入,manual://steam-watch,,手动/公开搜索,E_supplement,manual_import,游戏娱乐,文化娱乐,low_frequency,normal,metadata_only,低,否,先人工核验质量，再加入 Folo/RSS/监控源池,只记录公开价格和评测线索
体育赛事低频线索池,候选待加入,manual://sports-events,,公开网页/RSS,E_supplement,search_watch,体育赛事,文化娱乐,low_frequency,normal,public_only,低,否,先人工核验质量，再加入 Folo/RSS/监控源池,
